x,y,z,kerma
-10.6,97.9,196.8,18.72
10.6,144.3,1016.3,0.75
-10.6,97.9,206.8,16.69
-17.6,104.9,206.8,12.25
-17.6,104.9,196.8,12.42
3.6,68.3,326.3,7.88
-3.6,104.9,196.8,12.73
-10.6,75.3,196.8,22.93
3.6,94.2,641.3,1.96
-10.6,75.3,206.8,20.08
81.95,94.2,641.3,1.16
-17.6,68.3,196.8,22.3
3.6,68.3,316.3,8.96
-3.6,68.3,196.8,21.96
3.6,82.3,326.3,7.88
3.6,82.3,316.3,8.31
10.6,75.3,316.3,8.37
53.5,144.3,1016.3,0.74
10.6,75.3,326.3,7.73
3.6,108.2,641.3,2.06
32.05,75.3,316.3,8.4
81.95,108.2,641.3,1.5
32.05,75.3,326.3,7.41
53.5,166.9,1016.3,0.73
39.05,82.3,316.3,5.93
-3.6,68.3,206.8,19.39
39.05,68.3,316.3,6.51
10.6,101.2,641.3,2.18
10.6,101.2,651.3,2.06
10.6,166.9,1016.3,0.76
32.05,101.2,641.3,2.16
32.05,101.2,651.3,1.97
39.05,82.3,326.3,6.85
53.5,101.2,641.3,2.14
32.05,144.3,1016.3,0.79
53.5,101.2,651.3,2.01
-17.6,68.3,206.8,19.8
74.95,101.2,641.3,1.86
32.05,166.9,1016.3,0.69
74.95,101.2,651.3,1.87
-3.6,104.9,206.8,12.07
