x,y,z,kerma
-10.6,97.9,198.1,18.721
10.6,144.3,1017.6,0.7511111111111112
-10.6,97.9,208.1,16.693
-10.6,75.3,198.1,22.930999999999997
-10.6,75.3,208.1,20.082
10.6,75.3,317.6,8.369
53.5,144.3,1017.6,0.7426666666666666
10.6,75.3,327.6,7.728
32.05,75.3,317.6,8.402000000000001
32.05,75.3,327.6,7.41
53.5,166.9,1017.6,0.7297777777777779
10.6,101.2,642.6,2.177
10.6,101.2,652.6,2.059
10.6,166.9,1017.6,0.7608888888888888
32.05,101.2,642.6,2.1630000000000003
32.05,101.2,652.6,1.966
53.5,101.2,642.6,2.136
32.05,144.3,1017.6,0.7937777777777778
53.5,101.2,652.6,2.007
74.94999999999999,101.2,642.6,1.863
32.05,166.9,1017.6,0.6884444444444445
74.94999999999999,101.2,652.6,1.874
