id,type,rotation,position
2,cosms,10.10.,1B
2,cosms,13.10.,1T
2,cosms,20.10.,1B
2,cosms,27.10.,1T
19,cosms,10.10.,1T
19,cosms,13.10.,1B
19,cosms,20.10.,1T
19,cosms,27.10.,1B
9,cosms,10.10.,2L
9,cosms,13.10.,2R
9,cosms,20.10.,2L
9,cosms,27.10.,2R
4,cosms,10.10.,2R
4,cosms,13.10.,2L
4,cosms,20.10.,2R
4,cosms,27.10.,2L
22,cosms,10.10.,3L
22,cosms,13.10.,3LC
22,cosms,20.10.,3RC
22,cosms,27.10.,3R
5,cosms,10.10.,3LC
5,cosms,13.10,3RC
5,cosms,20.10.,3R
5,cosms,27.10.,3L
14,cosms,10.10.,3RC
14,cosms,13.10,3R
14,cosms,20.10.,3L
14,cosms,27.10.,3LC
13,cosms,10.10.,3R
13,cosms,13.10.,3L
13,cosms,20.10.,3LC
13,cosms,27.10.,3RC
18or8,cosms,10.10.,4BL
18or8,cosms,13.10.,4TL
18or8,cosms,20.10.,4TC
18or8,cosms,27.10.,TR
20,cosms,10.10.,4BC
20,cosms,13.10.,4BL
20,cosms,20.10.,4TL
20,cosms,27.10.,4TC
15,cosms,10.10.,4BR
15,cosms,13.10.,4BC
15,cosms,20.10.,4BL
15,cosms,27.10.,4TC
6,cosms,10.10.,4TL
6,cosms,13.10.,4TC
6,cosms,20.10.,4TR
6,cosms,27.10.,4BR
11,cosms,10.10.,4TC
11,cosms,13.10.,4TR
11,cosms,20.10.,4BR
11,cosms,27.10.,4BC
18or8,cosms,10.10.,4TR
18or8,cosms,13.10.,4BR
18or8,cosms,20.10.,4BC
18or8,cosms,27.10.,4BL
