Xcm,Ycm,Zcm,airKermaRatemGyperh,refdate
0,78,102,133.6,2013-02-20T12:00:00+01:00
0,78,152,60.02,2013-02-20T12:00:00+01:00
0,78,202,33.92,2013-02-20T12:00:00+01:00
0,78,302,15.05,2013-02-20T12:00:00+01:00
0,78,502,5.36,2013-02-20T12:00:00+01:00
0,78,902,1.648,2013-02-20T12:00:00+01:00
0,20,902,0.753,2013-02-20T12:00:00+01:00
0,40,902,1.18,2013-02-20T12:00:00+01:00
0,150,902,1.51,2013-02-20T12:00:00+01:00
0,200,902,1.33,2013-02-20T12:00:00+01:00
60,78,902,1.62,2013-02-20T12:00:00+01:00
90,78,902,1.58,2013-02-20T12:00:00+01:00
120,78,902,0.981,2013-02-20T12:00:00+01:00
-90,78,902,1.63,2013-02-20T12:00:00+01:00
0,78,1502,0.583,2013-02-20T12:00:00+01:00
100,78,1502,0.572,2013-02-20T12:00:00+01:00
150,78,1502,0.556,2013-02-20T12:00:00+01:00
200,78,1502,0.347,2013-02-20T12:00:00+01:00
250,78,1502,0.0507,2013-02-20T12:00:00+01:00
-150,78,1502,0.546,2013-02-20T12:00:00+01:00
-200,78,1502,0.19,2013-02-20T12:00:00+01:00
0,78,1902,0.368,2013-02-20T12:00:00+01:00
