iX,iY,iZ,kerma,wkerma
-11.5,98,196.8,1041.2144537373604,30.15251025858218
10.5,144,1016.3,55.09521105888629,1.30290637307437
-11.5,98,206.8,964.723918820963,27.12556548932562
-18.5,105,206.8,716.1459059607716,17.444610934871566
-18.5,105,196.8,717.4632822440219,15.62515317176273
3.5,68,326.3,656.063671706375,12.425723531721657
-4.5,105,196.8,726.896170847445,15.728600110501548
-11.5,75,196.8,1913.685643690288,35.755063755542935
3.5,94,641.3,156.87809896279796,3.268448879029364
-11.5,75,206.8,1733.8283712368886,32.54833341108029
81.5,94,641.3,122.04081809256041,2.3052217027181414
-18.5,68,196.8,1781.4181470359988,33.35774118409147
3.5,68,316.3,695.6771875307409,12.993410740194927
-4.5,68,196.8,1799.2698537249487,33.578978909827036
3.5,82,326.3,638.4637826503009,12.929242100222838
3.5,82,316.3,678.9196018876411,13.880000151708625
10.5,75,316.3,733.1735714169587,13.682672351480353
53.5,144,1016.3,51.592955892484405,1.2241326493613778
10.5,75,326.3,683.8432794699736,12.942524401072301
3.5,108,641.3,141.65308822376053,3.1729932548100215
31.5,75,316.3,734.320415546136,13.695597721052227
81.5,108,641.3,113.84594798892452,2.2357196181769714
31.5,75,326.3,680.4000110942089,13.026939806907864
53.5,167,1016.3,46.9252369785508,1.205493096464751
38.5,82,316.3,587.9690042240605,11.103308878393735
-4.5,68,206.8,1629.732323251404,30.394062125426633
38.5,68,316.3,619.8143077421013,10.941098762509679
10.5,101,641.3,150.93759985458072,3.338769359257231
10.5,101,651.3,145.49536687824073,3.196197447308239
10.5,167,1016.3,46.12310517316308,1.0890811866297923
31.5,101,641.3,145.9420865654184,3.1844792974294975
31.5,101,651.3,144.82352081705596,3.0602456116786625
38.5,82,326.3,579.3006454811938,11.019668064097214
53.5,101,641.3,146.20499727698336,3.0985975685164293
31.5,144,1016.3,52.48608131584424,1.1869074474222412
53.5,101,651.3,149.2152381333608,3.291272998446799
-18.5,68,206.8,1625.90008529665,30.290558711363673
74.5,101,641.3,139.25998471059475,2.8684348482142936
31.5,167,1016.3,45.35435379923417,1.1148127342194023
74.5,101,651.3,131.09118683465894,2.6866848509240118
-4.5,105,206.8,711.9409166629396,17.48038666856331
