sR,sH,strength
0.5,-76.75,0.03959432740317878
0.5,-76.25,0.008376851183082267
0.5,-75.75,0.08361611486838914
0.5,-75.25,0.020642705002576534
0.5,-74.75,0.1441631421315903
0.5,-74.25,0.05245524315734759
0.5,-73.75,0.012209512084546823
0.5,-73.25,0.0028667692212367706
0.5,-72.75,0.025658939603165152
0.5,-72.25,0.005609549504458619
0.5,-71.75,0.008608878621630749
1.5,-76.75,0.02493950140668379
1.5,-76.25,1e-12
1.5,-75.75,0.08835733180615815
1.5,-75.25,0.02322304312789867
1.5,-74.75,0.11952405072474108
1.5,-74.25,0.05901214855201601
1.5,-73.75,1e-12
1.5,-73.25,4.263692243519664e-4
1.5,-72.75,0.010717975887448498
1.5,-72.25,0.0034692522471319103
1.5,-71.75,0.007060281028497831
