Xcm,Ycm,Zcm,airKermaRatemGyperh,relUnc,refdate
0,78,102,133.6,0.032,2013-02-20T12:00:00+01:00
0,78,152,60.02,0.032,2013-02-20T12:00:00+01:00
0,78,202,33.92,0.032,2013-02-20T12:00:00+01:00
0,78,302,15.05,0.032,2013-02-20T12:00:00+01:00
0,78,502,5.36,0.032,2013-02-20T12:00:00+01:00
0,78,902,1.648,0.032,2013-02-20T12:00:00+01:00
0,20,902,0.753,0.032,2013-02-20T12:00:00+01:00
0,40,902,1.18,0.032,2013-02-20T12:00:00+01:00
0,150,902,1.51,0.032,2013-02-20T12:00:00+01:00
0,200,902,1.33,0.032,2013-02-20T12:00:00+01:00
60,78,902,1.62,0.032,2013-02-20T12:00:00+01:00
90,78,902,1.58,0.032,2013-02-20T12:00:00+01:00
120,78,902,0.981,0.032,2013-02-20T12:00:00+01:00
-90,78,902,1.63,0.032,2013-02-20T12:00:00+01:00
0,78,1502,0.583,0.032,2013-02-20T12:00:00+01:00
100,78,1502,0.572,0.032,2013-02-20T12:00:00+01:00
150,78,1502,0.556,0.032,2013-02-20T12:00:00+01:00
200,78,1502,0.347,0.032,2013-02-20T12:00:00+01:00
250,78,1502,0.0507,0.032,2013-02-20T12:00:00+01:00
-150,78,1502,0.546,0.032,2013-02-20T12:00:00+01:00
-200,78,1502,0.19,0.032,2013-02-20T12:00:00+01:00
0,78,1902,0.368,0.032,2013-02-20T12:00:00+01:00
